Average Time,Activation,Underlying Relationship,Observations,Dimensions,Depth
0.009564638137817383,ReLU,lin,100,1,1
0.01658177375793457,Leaky_ReLU,lin,100,1,1
0.018880844116210938,ELU,lin,100,1,1
0.01988387107849121,PReLU,lin,100,1,1
0.019649982452392578,SELU,lin,100,1,1
0.014479398727416992,ALReLU,lin,100,1,1
0.027324199676513672,ReLU,lin,100,1,3
0.0217437744140625,Leaky_ReLU,lin,100,1,3
0.025385141372680664,ELU,lin,100,1,3
0.04635310173034668,PReLU,lin,100,1,3
0.022396564483642578,SELU,lin,100,1,3
0.026192665100097656,ALReLU,lin,100,1,3
0.03476691246032715,ReLU,lin,100,1,10
0.02388930320739746,Leaky_ReLU,lin,100,1,10
0.07316946983337402,ELU,lin,100,1,10
0.055625200271606445,PReLU,lin,100,1,10
0.042723655700683594,SELU,lin,100,1,10
0.04167437553405762,ALReLU,lin,100,1,10
0.07559800148010254,ReLU,lin,100,1,30
0.11157512664794922,Leaky_ReLU,lin,100,1,30
0.1176002025604248,ELU,lin,100,1,30
0.11566162109375,PReLU,lin,100,1,30
0.10100054740905762,SELU,lin,100,1,30
0.14737844467163086,ALReLU,lin,100,1,30
0.015440702438354492,ReLU,sin,100,1,1
0.012478351593017578,Leaky_ReLU,sin,100,1,1
0.010776996612548828,ELU,sin,100,1,1
0.007508754730224609,PReLU,sin,100,1,1
0.012523651123046875,SELU,sin,100,1,1
0.008083105087280273,ALReLU,sin,100,1,1
0.03034663200378418,ReLU,sin,100,1,3
0.021390676498413086,Leaky_ReLU,sin,100,1,3
0.01100015640258789,ELU,sin,100,1,3
0.025223970413208008,PReLU,sin,100,1,3
0.009999752044677734,SELU,sin,100,1,3
0.03432178497314453,ALReLU,sin,100,1,3
0.04596734046936035,ReLU,sin,100,1,10
0.023754596710205078,Leaky_ReLU,sin,100,1,10
0.04112696647644043,ELU,sin,100,1,10
0.06337928771972656,PReLU,sin,100,1,10
0.05251812934875488,SELU,sin,100,1,10
0.03587031364440918,ALReLU,sin,100,1,10
0.1347501277923584,ReLU,sin,100,1,30
0.11152768135070801,Leaky_ReLU,sin,100,1,30
0.06589007377624512,ELU,sin,100,1,30
0.08561134338378906,PReLU,sin,100,1,30
0.08791017532348633,SELU,sin,100,1,30
0.17427420616149902,ALReLU,sin,100,1,30
