Average Time,Activation,Underlying Relationship,Observations,Dimensions,Depth
0.006598472595214844,PReLU,sin,100,5,1
0.00550079345703125,SELU,sin,100,5,1
0.013709545135498047,ALReLU,sin,100,5,1
0.01668262481689453,ReLU,sin,100,5,3
0.02131819725036621,Leaky_ReLU,sin,100,5,3
0.02069878578186035,ELU,sin,100,5,3
0.023484468460083008,PReLU,sin,100,5,3
0.016872882843017578,SELU,sin,100,5,3
0.03175926208496094,ALReLU,sin,100,5,3
0.036997318267822266,ReLU,sin,100,5,10
0.04300951957702637,Leaky_ReLU,sin,100,5,10
0.027774810791015625,ELU,sin,100,5,10
0.03345680236816406,PReLU,sin,100,5,10
0.059102535247802734,SELU,sin,100,5,10
0.037247657775878906,ALReLU,sin,100,5,10
0.11631298065185547,ReLU,sin,100,5,30
0.14455080032348633,Leaky_ReLU,sin,100,5,30
0.06854820251464844,ELU,sin,100,5,30
0.11433911323547363,PReLU,sin,100,5,30
0.1531209945678711,SELU,sin,100,5,30
0.2076265811920166,ALReLU,sin,100,5,30
0.016999006271362305,ReLU,qdr,100,5,1
0.006589651107788086,Leaky_ReLU,qdr,100,5,1
0.007389545440673828,ELU,qdr,100,5,1
0.00767207145690918,PReLU,qdr,100,5,1
0.006772756576538086,SELU,qdr,100,5,1
0.016038179397583008,ALReLU,qdr,100,5,1
0.013000011444091797,ReLU,qdr,100,5,3
0.010425090789794922,Leaky_ReLU,qdr,100,5,3
0.02212047576904297,ELU,qdr,100,5,3
0.013152837753295898,PReLU,qdr,100,5,3
0.031032085418701172,SELU,qdr,100,5,3
0.01367497444152832,ALReLU,qdr,100,5,3
0.04863476753234863,ReLU,qdr,100,5,10
0.047234296798706055,Leaky_ReLU,qdr,100,5,10
0.03409242630004883,ELU,qdr,100,5,10
0.0712897777557373,PReLU,qdr,100,5,10
0.02687549591064453,SELU,qdr,100,5,10
0.0981142520904541,ALReLU,qdr,100,5,10
0.16325783729553223,ReLU,qdr,100,5,30
0.10241079330444336,Leaky_ReLU,qdr,100,5,30
0.1572113037109375,ELU,qdr,100,5,30
0.1683206558227539,PReLU,qdr,100,5,30
0.15875577926635742,SELU,qdr,100,5,30
0.27448606491088867,ALReLU,qdr,100,5,30
0.02005481719970703,ReLU,exp,100,5,1
0.02623772621154785,Leaky_ReLU,exp,100,5,1
0.013530492782592773,ELU,exp,100,5,1
0.022864818572998047,PReLU,exp,100,5,1
0.01606130599975586,SELU,exp,100,5,1
0.025894880294799805,ALReLU,exp,100,5,1
0.024825096130371094,ReLU,exp,100,5,3
0.01564621925354004,Leaky_ReLU,exp,100,5,3
0.01365208625793457,ELU,exp,100,5,3
0.029786109924316406,PReLU,exp,100,5,3
0.024588823318481445,SELU,exp,100,5,3
0.016826868057250977,ALReLU,exp,100,5,3
0.02523946762084961,ReLU,exp,100,5,10
